ORD_NO,ITEM_NAME,CUST_NO,PRICE
90421534,BAG,36145316,1000
90413591,LAPTOP,36145316,500
90410427,MOBILE,36145316,2500
58487,LAPTOP,36145313,1290
80190529,MOBILE,36145312,55
10372542,BOOKS,36145312,-1900
10342574,PENCIL,36145312,1200
50269425,PENCIL,36145309,100
30256891,PENCIL,36145308,99
40375327,PENCIL,36145307,5000
90351965,DRESS,36145307,-99
20393068,DRESS,36145305,0
90312851,PENS,36145304,0.5
80391938,TV,36145303,20
60211274,TV,36145303,1000
90121583,PENCIL,36145300,-20
90351946,BOOKS,36145300,0.67
90351932,PENCIL,36145299,200
50310482,PENCIL,36145298,300
192631,LAPTOP,36145556,400
